statueoftrafficaccidents,art,ひとつの ー。,2024.06,Media Art,,,
shape-of-monologue-stacked,art,ひとりごとのかたち / 積層体について,2023.01,Media Art,,,Personal Work
in-the-black-and-eternal,art,暗転と永遠の中で。,2019.12,Video Installation,2min 10sec,,Personal Work
lost-anima,art,アニマの消失,2019.05,Media Art,,,Personal Work
drawing_with_particles,art,Drawing with particles,2018.06,Media Art,,,Personal Work
fruits-cut,art,FRUITS CUT!,2018.12,Game,,,Project
